lapangan_usaha,kode,is_utama,tahun,indeks_implisit,laju_implisit
"A. Pertanian, Kehutanan dan Perikanan",A,True,2021,159.0,8.01
"A. Pertanian, Kehutanan dan Perikanan",A,True,2022,167.29,5.22
"A. Pertanian, Kehutanan dan Perikanan",A,True,2023,174.04,4.03
"A. Pertanian, Kehutanan dan Perikanan",A,True,2024,181.04,4.02
"A. Pertanian, Kehutanan dan Perikanan",A,True,2025,192.37,6.26
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",SUB,False,2021,168.75,10.94
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",SUB,False,2022,180.89,7.19
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",SUB,False,2023,191.34,5.77
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",SUB,False,2024,209.11,9.29
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",SUB,False,2025,228.99,9.51
a. Tanaman Pangan,SUB,False,2021,194.31,3.61
a. Tanaman Pangan,SUB,False,2022,200.55,3.21
a. Tanaman Pangan,SUB,False,2023,206.57,3.0
a. Tanaman Pangan,SUB,False,2024,214.35,3.77
a. Tanaman Pangan,SUB,False,2025,212.01,-1.09
b. Tanaman Hortikultura,SUB,False,2021,161.94,-0.05
b. Tanaman Hortikultura,SUB,False,2022,169.36,4.58
b. Tanaman Hortikultura,SUB,False,2023,174.88,3.26
b. Tanaman Hortikultura,SUB,False,2024,182.09,4.12
b. Tanaman Hortikultura,SUB,False,2025,192.6,5.77
c. Tanaman Perkebunan,SUB,False,2021,183.82,17.95
c. Tanaman Perkebunan,SUB,False,2022,199.88,8.74
c. Tanaman Perkebunan,SUB,False,2023,212.17,6.15
c. Tanaman Perkebunan,SUB,False,2024,241.83,13.98
c. Tanaman Perkebunan,SUB,False,2025,279.27,15.48
d. Peternakan,SUB,False,2021,152.09,6.2
d. Peternakan,SUB,False,2022,161.72,6.34
d. Peternakan,SUB,False,2023,171.92,6.3
d. Peternakan,SUB,False,2024,172.61,0.4
d. Peternakan,SUB,False,2025,174.83,1.29
e. Jasa Pertanian dan Perburuan,SUB,False,2021,136.5,5.2
e. Jasa Pertanian dan Perburuan,SUB,False,2022,144.87,6.13
e. Jasa Pertanian dan Perburuan,SUB,False,2023,150.72,4.04
e. Jasa Pertanian dan Perburuan,SUB,False,2024,155.68,3.29
e. Jasa Pertanian dan Perburuan,SUB,False,2025,157.82,1.37
2. Kehutanan dan Penebangan Kayu,SUB,False,2021,149.78,-3.57
2. Kehutanan dan Penebangan Kayu,SUB,False,2022,156.29,4.34
2. Kehutanan dan Penebangan Kayu,SUB,False,2023,161.7,3.46
2. Kehutanan dan Penebangan Kayu,SUB,False,2024,163.2,0.93
2. Kehutanan dan Penebangan Kayu,SUB,False,2025,164.18,0.6
3. Perikanan,SUB,False,2021,152.27,5.81
3. Perikanan,SUB,False,2022,158.47,4.07
3. Perikanan,SUB,False,2023,164.11,3.56
3. Perikanan,SUB,False,2024,165.42,0.8
3. Perikanan,SUB,False,2025,172.5,4.28
B. Pertambangan dan Penggalian,B,True,2021,140.19,23.23
B. Pertambangan dan Penggalian,B,True,2022,168.75,20.37
B. Pertambangan dan Penggalian,B,True,2023,165.29,-2.05
B. Pertambangan dan Penggalian,B,True,2024,165.81,0.32
B. Pertambangan dan Penggalian,B,True,2025,160.28,-3.34
"1. Pertambangan Minyak, Gas, dan Panas Bumi",SUB,False,2021,138.22,21.48
"1. Pertambangan Minyak, Gas, dan Panas Bumi",SUB,False,2022,166.9,20.75
"1. Pertambangan Minyak, Gas, dan Panas Bumi",SUB,False,2023,159.09,-4.68
"1. Pertambangan Minyak, Gas, dan Panas Bumi",SUB,False,2024,158.87,-0.14
"1. Pertambangan Minyak, Gas, dan Panas Bumi",SUB,False,2025,153.34,-3.49
2. Pertambangan Batubara dan Lignit,SUB,False,2021,,
2. Pertambangan Batubara dan Lignit,SUB,False,2022,,
2. Pertambangan Batubara dan Lignit,SUB,False,2023,,
2. Pertambangan Batubara dan Lignit,SUB,False,2024,,
2. Pertambangan Batubara dan Lignit,SUB,False,2025,,
3. Pertambangan Bijih Logam,SUB,False,2021,161.69,55.03
3. Pertambangan Bijih Logam,SUB,False,2022,197.7,22.27
3. Pertambangan Bijih Logam,SUB,False,2023,227.94,15.29
3. Pertambangan Bijih Logam,SUB,False,2024,244.2,7.13
3. Pertambangan Bijih Logam,SUB,False,2025,247.49,1.35
4. Pertambangan dan Penggalian Lainnya,SUB,False,2021,137.26,2.08
4. Pertambangan dan Penggalian Lainnya,SUB,False,2022,144.38,5.19
4. Pertambangan dan Penggalian Lainnya,SUB,False,2023,150.11,3.97
4. Pertambangan dan Penggalian Lainnya,SUB,False,2024,148.18,-1.29
4. Pertambangan dan Penggalian Lainnya,SUB,False,2025,150.22,1.38
C. Industri Pengolahan,C,True,2021,152.59,2.88
C. Industri Pengolahan,C,True,2022,158.78,4.06
C. Industri Pengolahan,C,True,2023,163.49,2.97
C. Industri Pengolahan,C,True,2024,165.07,0.96
C. Industri Pengolahan,C,True,2025,168.45,2.05
1. Industri Batubara dan Pengilangan Migas,SUB,False,2021,,
1. Industri Batubara dan Pengilangan Migas,SUB,False,2022,,
1. Industri Batubara dan Pengilangan Migas,SUB,False,2023,,
1. Industri Batubara dan Pengilangan Migas,SUB,False,2024,,
1. Industri Batubara dan Pengilangan Migas,SUB,False,2025,,
2. Industri Makanan dan Minuman,SUB,False,2021,152.26,6.5
2. Industri Makanan dan Minuman,SUB,False,2022,160.44,5.37
2. Industri Makanan dan Minuman,SUB,False,2023,165.39,3.08
2. Industri Makanan dan Minuman,SUB,False,2024,170.8,3.27
2. Industri Makanan dan Minuman,SUB,False,2025,176.68,3.44
3. Industri Pengolahan Tembakau,SUB,False,2021,193.21,2.4
3. Industri Pengolahan Tembakau,SUB,False,2022,207.98,7.65
3. Industri Pengolahan Tembakau,SUB,False,2023,222.88,7.16
3. Industri Pengolahan Tembakau,SUB,False,2024,238.45,6.99
3. Industri Pengolahan Tembakau,SUB,False,2025,247.52,3.81
4. Industri Tekstil dan Pakaian Jadi,SUB,False,2021,150.92,2.15
4. Industri Tekstil dan Pakaian Jadi,SUB,False,2022,155.87,3.28
4. Industri Tekstil dan Pakaian Jadi,SUB,False,2023,158.76,1.85
4. Industri Tekstil dan Pakaian Jadi,SUB,False,2024,161.86,1.95
4. Industri Tekstil dan Pakaian Jadi,SUB,False,2025,163.9,1.26
"5. Industri Kulit, Barang dari Kulit dan Alas Kaki",SUB,False,2021,142.43,0.5
"5. Industri Kulit, Barang dari Kulit dan Alas Kaki",SUB,False,2022,145.18,1.93
"5. Industri Kulit, Barang dari Kulit dan Alas Kaki",SUB,False,2023,145.82,0.45
"5. Industri Kulit, Barang dari Kulit dan Alas Kaki",SUB,False,2024,148.07,1.54
"5. Industri Kulit, Barang dari Kulit dan Alas Kaki",SUB,False,2025,149.4,0.9
"6. Industri Kayu, Barang dari Kayu dan Gabus, & Anyaman",SUB,False,2021,153.09,1.61
"6. Industri Kayu, Barang dari Kayu dan Gabus, & Anyaman",SUB,False,2022,154.39,0.85
"6. Industri Kayu, Barang dari Kayu dan Gabus, & Anyaman",SUB,False,2023,157.37,1.92
"6. Industri Kayu, Barang dari Kayu dan Gabus, & Anyaman",SUB,False,2024,159.04,1.06
"6. Industri Kayu, Barang dari Kayu dan Gabus, & Anyaman",SUB,False,2025,166.23,4.52
"7. Industri Kertas, Percetakan & Reproduksi Media Rekaman",SUB,False,2021,167.78,0.81
"7. Industri Kertas, Percetakan & Reproduksi Media Rekaman",SUB,False,2022,169.05,0.75
"7. Industri Kertas, Percetakan & Reproduksi Media Rekaman",SUB,False,2023,176.32,4.3
"7. Industri Kertas, Percetakan & Reproduksi Media Rekaman",SUB,False,2024,179.61,1.87
"7. Industri Kertas, Percetakan & Reproduksi Media Rekaman",SUB,False,2025,179.77,0.09
"8. Industri Kimia, Farmasi, dan Obat Tradisional",SUB,False,2021,163.09,4.2
"8. Industri Kimia, Farmasi, dan Obat Tradisional",SUB,False,2022,172.98,6.07
"8. Industri Kimia, Farmasi, dan Obat Tradisional",SUB,False,2023,178.42,3.15
"8. Industri Kimia, Farmasi, dan Obat Tradisional",SUB,False,2024,180.0,0.88
"8. Industri Kimia, Farmasi, dan Obat Tradisional",SUB,False,2025,184.0,2.23
"9. Industri Karet, Barang dari Karet dan Plastik",SUB,False,2021,149.88,0.25
"9. Industri Karet, Barang dari Karet dan Plastik",SUB,False,2022,152.77,1.93
"9. Industri Karet, Barang dari Karet dan Plastik",SUB,False,2023,154.07,0.85
"9. Industri Karet, Barang dari Karet dan Plastik",SUB,False,2024,158.57,2.92
"9. Industri Karet, Barang dari Karet dan Plastik",SUB,False,2025,163.13,2.87
10. Industri Barang Galian Bukan Logam,SUB,False,2021,165.0,1.42
10. Industri Barang Galian Bukan Logam,SUB,False,2022,159.58,-3.29
10. Industri Barang Galian Bukan Logam,SUB,False,2023,162.62,1.91
10. Industri Barang Galian Bukan Logam,SUB,False,2024,165.88,2.01
10. Industri Barang Galian Bukan Logam,SUB,False,2025,170.0,2.48
11. Industri Logam Dasar,SUB,False,2021,120.6,4.12
11. Industri Logam Dasar,SUB,False,2022,137.89,14.33
11. Industri Logam Dasar,SUB,False,2023,145.69,5.66
11. Industri Logam Dasar,SUB,False,2024,147.91,1.52
11. Industri Logam Dasar,SUB,False,2025,154.25,4.28
"12. Industri Barang Logam, Komputer, Elektronik, Optik, & Kelistrikan",SUB,False,2021,157.02,
"12. Industri Barang Logam, Komputer, Elektronik, Optik, & Kelistrikan",SUB,False,2022,162.65,
"12. Industri Barang Logam, Komputer, Elektronik, Optik, & Kelistrikan",SUB,False,2023,167.69,
"12. Industri Barang Logam, Komputer, Elektronik, Optik, & Kelistrikan",SUB,False,2024,168.7,
"12. Industri Barang Logam, Komputer, Elektronik, Optik, & Kelistrikan",SUB,False,2025,171.61,
13. Industri Mesin dan Perlengkapan,SUB,False,2021,163.23,1.52
13. Industri Mesin dan Perlengkapan,SUB,False,2022,164.78,0.95
13. Industri Mesin dan Perlengkapan,SUB,False,2023,167.47,1.63
13. Industri Mesin dan Perlengkapan,SUB,False,2024,169.48,1.2
13. Industri Mesin dan Perlengkapan,SUB,False,2025,171.04,0.92
14. Industri Alat Angkutan,SUB,False,2021,137.45,1.97
14. Industri Alat Angkutan,SUB,False,2022,144.93,5.44
14. Industri Alat Angkutan,SUB,False,2023,150.73,4.0
14. Industri Alat Angkutan,SUB,False,2024,153.16,1.61
14. Industri Alat Angkutan,SUB,False,2025,154.53,0.89
15. Industri Furnitur,SUB,False,2021,147.95,2.35
