Kabupaten_Kota,No,Kode,Lapangan_Usaha,2021,2022,2023,2024*,2025**,Rata_rata,Keterangan
Kabupaten Karimun,1,A,"Pertanian, Kehutanan, dan Perikanan",5.37,5.24,5.31,5.26,5.3,5.3,Basis
Kabupaten Karimun,2,B,Pertambangan dan Penggalian,0.79,0.83,0.83,0.86,0.78,0.82,Non Basis
Kabupaten Karimun,3,C,Industri Pengolahan,0.32,0.31,0.33,0.37,0.39,0.34,Non Basis
Kabupaten Karimun,4,D,Pengadaan Listrik dan Gas,0.34,0.32,0.33,0.33,0.33,0.33,Non Basis
Kabupaten Karimun,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0.37,0.36,0.34,0.34,0.32,0.35,Non Basis
Kabupaten Karimun,6,F,Konstruksi,1.08,1.07,0.99,0.96,0.97,1.01,Basis
Kabupaten Karimun,7,G,Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,2.2,2.11,2.14,2.1,2.12,2.14,Basis
Kabupaten Karimun,8,H,Transportasi dan Pergudangan,1.79,1.59,1.66,1.67,1.69,1.68,Basis
Kabupaten Karimun,9,I,Penyediaan Akomodasi dan Makan Minum,1.41,1.22,1.12,1.15,1.2,1.22,Basis
Kabupaten Karimun,10,J,Informasi dan Komunikasi,1.22,1.19,1.23,1.25,1.33,1.24,Basis
Kabupaten Karimun,11,K,Jasa Keuangan dan Asuransi,0.65,0.64,0.63,0.61,0.61,0.63,Non Basis
Kabupaten Karimun,12,L,Real Estat,2.56,2.54,2.5,2.41,2.42,2.49,Basis
Kabupaten Karimun,13,"M,N",Jasa Perusahaan,5.78,5.43,5.22,5.15,4.89,5.29,Basis
Kabupaten Karimun,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1.65,1.64,1.61,1.56,1.58,1.61,Basis
Kabupaten Karimun,15,P,Jasa Pendidikan,2.71,2.71,2.7,2.64,2.65,2.68,Basis
Kabupaten Karimun,16,Q,Jasa Kesehatan dan Kegiatan Sosial,2.06,2.12,2.02,1.75,1.77,1.94,Basis
Kabupaten Karimun,17,"R,S,T,U",Jasa Lainnya,7.4,5.21,4.96,4.69,4.83,5.42,Basis
Kabupaten Bintan,1,A,"Pertanian, Kehutanan, dan Perikanan",2.28,2.26,2.29,2.25,2.23,2.26,Basis
Kabupaten Bintan,2,B,Pertambangan dan Penggalian,0.35,0.3,0.25,0.23,0.21,0.27,Non Basis
Kabupaten Bintan,3,C,Industri Pengolahan,0.96,0.98,0.98,1.0,1.02,0.99,Non Basis
Kabupaten Bintan,4,D,Pengadaan Listrik dan Gas,0.17,0.15,0.15,0.14,0.14,0.15,Non Basis
Kabupaten Bintan,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0.52,0.5,0.49,0.48,0.46,0.49,Non Basis
Kabupaten Bintan,6,F,Konstruksi,1.19,1.15,1.09,1.06,1.06,1.11,Basis
Kabupaten Bintan,7,G,Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,1.3,1.19,1.23,1.2,1.19,1.22,Basis
Kabupaten Bintan,8,H,Transportasi dan Pergudangan,1.63,1.26,1.37,1.37,1.35,1.39,Basis
Kabupaten Bintan,9,I,Penyediaan Akomodasi dan Makan Minum,2.91,2.76,2.85,2.84,2.9,2.85,Basis
Kabupaten Bintan,10,J,Informasi dan Komunikasi,0.49,0.48,0.48,0.5,0.52,0.49,Non Basis
Kabupaten Bintan,11,K,Jasa Keuangan dan Asuransi,0.7,0.68,0.65,0.61,0.6,0.65,Non Basis
Kabupaten Bintan,12,L,Real Estat,1.05,1.03,0.99,0.94,0.93,0.99,Non Basis
Kabupaten Bintan,13,"M,N",Jasa Perusahaan,0.27,0.26,0.25,0.24,0.23,0.25,Non Basis
Kabupaten Bintan,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1.12,1.14,1.09,1.04,1.03,1.08,Basis
Kabupaten Bintan,15,P,Jasa Pendidikan,1.6,1.61,1.62,1.55,1.53,1.58,Basis
Kabupaten Bintan,16,Q,Jasa Kesehatan dan Kegiatan Sosial,1.09,1.15,1.05,1.01,1.01,1.06,Basis
Kabupaten Bintan,17,"R,S,T,U",Jasa Lainnya,1.09,0.73,0.74,0.71,0.72,0.8,Non Basis
Kabupaten Natuna,1,A,"Pertanian, Kehutanan, dan Perikanan",11.28,11.3,11.18,11.29,11.53,11.32,Basis
Kabupaten Natuna,2,B,Pertambangan dan Penggalian,0.37,0.41,0.41,0.41,0.42,0.4,Non Basis
Kabupaten Natuna,3,C,Industri Pengolahan,0.07,0.07,0.07,0.07,0.07,0.07,Non Basis
Kabupaten Natuna,4,D,Pengadaan Listrik dan Gas,0.36,0.32,0.32,0.32,0.33,0.33,Non Basis
Kabupaten Natuna,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0.2,0.19,0.19,0.19,0.2,0.19,Non Basis
Kabupaten Natuna,6,F,Konstruksi,1.4,1.35,1.34,1.35,1.38,1.36,Basis
Kabupaten Natuna,7,G,Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,1.42,1.4,1.38,1.39,1.42,1.4,Basis
Kabupaten Natuna,8,H,Transportasi dan Pergudangan,3.7,2.91,2.88,2.9,2.97,3.07,Basis
Kabupaten Natuna,9,I,Penyediaan Akomodasi dan Makan Minum,1.37,1.04,1.03,1.04,1.06,1.11,Basis
Kabupaten Natuna,10,J,Informasi dan Komunikasi,1.12,1.11,1.1,1.11,1.13,1.11,Basis
Kabupaten Natuna,11,K,Jasa Keuangan dan Asuransi,0.2,0.2,0.2,0.2,0.21,0.2,Non Basis
Kabupaten Natuna,12,L,Real Estat,1.93,1.91,1.89,1.91,1.95,1.92,Basis
Kabupaten Natuna,13,"M,N",Jasa Perusahaan,0.2,0.19,0.2,0.21,0.21,0.2,Non Basis
Kabupaten Natuna,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",3.04,3.03,3.0,3.02,3.09,3.04,Basis
Kabupaten Natuna,15,P,Jasa Pendidikan,0.49,0.48,0.48,0.48,0.49,0.49,Non Basis
Kabupaten Natuna,16,Q,Jasa Kesehatan dan Kegiatan Sosial,1.01,1.07,1.06,1.07,1.09,1.06,Basis
