Lapangan Usaha,2021,2022,2023,2024*,2025**,Rata-rata,Keterangan
"1. Pertanian, kehutanan, & perikanan",0.22,0.23,0.23,0.23,0.23,0.23,Non Basis
2. Pertambangan dan penggalian,1.78,1.58,1.45,1.27,1.39,1.49,Basis
3. Industri Pengolahan,1.96,1.95,1.91,1.97,1.99,1.95,Basis
4. Pengadaan Listrik dan Gas,0.85,0.92,0.95,0.97,1.0,0.94,Non Basis
"5. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",1.3,1.37,1.36,1.33,1.4,1.35,Basis
6. Konstruksi,1.78,1.83,1.92,1.9,1.84,1.86,Basis
7. Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,0.55,0.6,0.6,0.61,0.61,0.59,Non Basis
8. Transportasi dan Pergudangan,0.37,0.42,0.42,0.4,0.39,0.4,Non Basis
9. Penyediaan Akomodasi dan Makan Minum,0.45,0.6,0.69,0.66,0.62,0.6,Non Basis
10. Informasi dan Komunikasi,0.5,0.5,0.56,0.52,0.46,0.51,Non Basis
11. Jasa Keuangan dan Asuransi,0.61,0.63,0.65,0.66,0.65,0.64,Non Basis
12. Real Estat,0.4,0.41,0.42,0.44,0.44,0.42,Non Basis
13. Jasa Perusahaan,0.0,0.0,0.0,0.0,0.0,0.0,Non Basis
"14. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",0.65,0.66,0.68,0.76,0.71,0.69,Non Basis
15. Jasa Pendidikan,0.37,0.38,0.38,0.39,0.39,0.38,Non Basis
16. Jasa Kesehatan dan Kegiatan Sosial,0.71,0.69,0.63,0.71,0.68,0.68,Non Basis
17. Jasa lainnya,0.08,0.12,0.14,0.14,0.13,0.12,Non Basis
