kab_kota,kode,lapangan_usaha,tahun,adhk,adhb
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2021,1473.45,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2022,1503.41,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2023,1552.78,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2024,1586.94,
Kabupaten Karimun,A,"A. Pertanian, Kehutanan dan Perikanan",2025,1640.89,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2021,1010.73,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2022,975.93,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2023,955.9,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2024,936.78,
Kabupaten Karimun,B,B. Pertambangan dan Penggalian,2025,974.25,
Kabupaten Karimun,C,C. Industri Pengolahan,2021,1235.09,
Kabupaten Karimun,C,C. Industri Pengolahan,2022,1269.55,
Kabupaten Karimun,C,C. Industri Pengolahan,2023,1366.48,
Kabupaten Karimun,C,C. Industri Pengolahan,2024,1724.91,
Kabupaten Karimun,C,C. Industri Pengolahan,2025,1931.9,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2021,28.53,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2022,31.52,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2023,35.0,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2024,38.37,
Kabupaten Karimun,D,D. Pengadaan Listrik dan Gas,2025,42.2,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2021,4.15,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,4.37,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2023,4.4,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2024,4.53,
Kabupaten Karimun,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2025,4.8,
Kabupaten Karimun,F,F. Konstruksi,2021,1852.57,
Kabupaten Karimun,F,F. Konstruksi,2022,1923.17,
Kabupaten Karimun,F,F. Konstruksi,2023,1958.48,
Kabupaten Karimun,F,F. Konstruksi,2024,2062.28,
Kabupaten Karimun,F,F. Konstruksi,2025,2175.7,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2021,1542.52,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2022,1676.09,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2023,1800.8,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2024,1919.65,
Kabupaten Karimun,G,"G. Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2025,2063.62,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2021,232.22,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2022,283.17,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2023,341.0,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2024,361.46,
Kabupaten Karimun,H,H. Transportasi dan Pergudangan,2025,388.57,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2021,171.54,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2022,219.8,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2023,258.85,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2024,284.14,
Kabupaten Karimun,I,I. Penyediaan Akomodasi dan Makan Minum,2025,301.19,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2021,371.11,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2022,390.39,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2023,486.26,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2024,508.14,
Kabupaten Karimun,J,J. Informasi dan Komunikasi,2025,520.84,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2021,161.22,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2022,165.06,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2023,177.49,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2024,187.61,
Kabupaten Karimun,K,K. Jasa Keuangan dan Asuransi,2025,195.3,
Kabupaten Karimun,L,L. Real Estat,2021,296.37,
Kabupaten Karimun,L,L. Real Estat,2022,306.63,
Kabupaten Karimun,L,L. Real Estat,2023,318.8,
Kabupaten Karimun,L,L. Real Estat,2024,332.51,
Kabupaten Karimun,L,L. Real Estat,2025,349.14,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2021,1.71,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2022,1.84,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2023,2.1,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2024,2.23,
Kabupaten Karimun,"M,N","M,N. Jasa Perusahaan",2025,2.45,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,342.16,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,349.05,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,363.41,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,425.3,
Kabupaten Karimun,O,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2025,421.05,
Kabupaten Karimun,P,P. Jasa Pendidikan,2021,305.36,
Kabupaten Karimun,P,P. Jasa Pendidikan,2022,313.14,
Kabupaten Karimun,P,P. Jasa Pendidikan,2023,325.46,
Kabupaten Karimun,P,P. Jasa Pendidikan,2024,338.48,
Kabupaten Karimun,P,P. Jasa Pendidikan,2025,355.4,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2021,199.9,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2022,204.88,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2023,186.56,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2024,198.5,
Kabupaten Karimun,Q,Q. Jasa Kesehatan dan Kegiatan Sosial,2025,203.46,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2021,104.14,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2022,123.86,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2023,143.83,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2024,161.75,
Kabupaten Karimun,"R,S,T,U","R,S,T,U. Jasa Lainnya",2025,168.22,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2021,933.66,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2022,969.93,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2023,1005.07,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2024,1038.24,
Kabupaten Bintan,A,"A. Pertanian, Kehutanan dan Perikanan",2025,1074.58,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2021,667.28,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2022,527.15,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2023,433.89,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2024,381.82,
Kabupaten Bintan,B,B. Pertambangan dan Penggalian,2025,400.91,
Kabupaten Bintan,C,C. Industri Pengolahan,2021,5587.47,
Kabupaten Bintan,C,C. Industri Pengolahan,2022,5939.18,
Kabupaten Bintan,C,C. Industri Pengolahan,2023,6151.09,
Kabupaten Bintan,C,C. Industri Pengolahan,2024,7061.45,
Kabupaten Bintan,C,C. Industri Pengolahan,2025,7838.21,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2021,21.15,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2022,21.84,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2023,23.79,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2024,25.46,
Kabupaten Bintan,D,D. Pengadaan Listrik dan Gas,2025,27.88,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2021,8.77,
Kabupaten Bintan,E,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2022,9.09,
