tahun,uraian,adhb,adhk
2018,Konsumsi Rumah Tangga,180000000.0,153000000.0
2019,Konsumsi Rumah Tangga,185988232.33,156915382.68
2020,Konsumsi Rumah Tangga,195445662.94,163053142.14
2021,Konsumsi Rumah Tangga,204764169.56,169033209.84
2022,Konsumsi Rumah Tangga,212564381.49,173986355.78
2018,Konsumsi LNPRT,3000000.0,2550000.0
2019,Konsumsi LNPRT,3135157.22,2638372.03
2020,Konsumsi LNPRT,3270062.31,2725701.68
2021,Konsumsi LNPRT,3419609.24,2821587.94
2022,Konsumsi LNPRT,3630457.74,2955415.11
2018,Konsumsi Pemerintah,25000000.0,21250000.0
2019,Konsumsi Pemerintah,26883515.3,22481529.24
2020,Konsumsi Pemerintah,28863488.82,23755196.01
2021,Konsumsi Pemerintah,30335738.67,24687264.79
2022,Konsumsi Pemerintah,31642444.02,25505263.69
2018,PMTB,90000000.0,76500000.0
2019,PMTB,96311263.09,80626595.1
2020,PMTB,102083634.5,84343762.81
2021,PMTB,109007801.55,88744455.41
2022,PMTB,114861690.37,92410390.45
2018,Ekspor,60000000.0,51000000.0
2019,Ekspor,62459045.52,52607837.45
2020,Ekspor,66469818.42,55206439.8
2021,Ekspor,68897631.12,56757530.08
2022,Ekspor,73178206.68,59470081.71
2018,Impor,70000000.0,59500000.0
2019,Impor,72300854.33,61004404.75
2020,Impor,76490525.91,63723687.66
2021,Impor,78857523.62,65240555.49
2022,Impor,83883682.37,68439210.22
