kab_kota,tahun,perkapita_adhk_ribu,perkapita_adhb_ribu,perkapita_adhk_juta,perkapita_adhb_juta
Kabupaten Bintan,2021,86445.7,131845.5,86.45,131.85
Kabupaten Bintan,2022,91714.97,149876.9,91.71,149.88
Kabupaten Bintan,2023,97951.37,165561.2,97.95,165.56
Kabupaten Bintan,2024,105200.6,180544.2,105.2,180.54
Kabupaten Bintan,2025,110474.0,193677.0,110.47,193.68
Kabupaten Karimun,2021,36604.56,55677.87,36.6,55.68
Kabupaten Karimun,2022,37788.84,60336.22,37.79,60.34
Kabupaten Karimun,2023,39438.43,65299.46,39.44,65.3
Kabupaten Karimun,2024,41544.84,69608.19,41.54,69.61
Kabupaten Karimun,2025,43365.0,74982.0,43.37,74.98
Kabupaten Kepulauan Anambas,2021,232516.7,349503.4,232.52,349.5
Kabupaten Kepulauan Anambas,2022,229506.9,410971.2,229.51,410.97
Kabupaten Kepulauan Anambas,2023,227878.9,391951.6,227.88,391.95
Kabupaten Kepulauan Anambas,2024,212218.1,362072.1,212.22,362.07
Kabupaten Kepulauan Anambas,2025,242118.0,399577.0,242.12,399.58
Kabupaten Lingga,2021,30010.47,45439.39,30.01,45.44
Kabupaten Lingga,2022,30817.72,48510.09,30.82,48.51
Kabupaten Lingga,2023,31827.34,51964.43,31.83,51.96
Kabupaten Lingga,2024,32913.86,54936.26,32.91,54.94
Kabupaten Lingga,2025,33764.0,57827.0,33.76,57.83
Kabupaten Natuna,2021,177996.8,253651.1,178.0,253.65
Kabupaten Natuna,2022,175737.3,290847.8,175.74,290.85
Kabupaten Natuna,2023,174867.6,278007.9,174.87,278.01
Kabupaten Natuna,2024,166448.4,264903.3,166.45,264.9
Kabupaten Natuna,2025,181596.0,281436.0,181.6,281.44
Kota Batam,2021,91404.62,142242.6,91.4,142.24
Kota Batam,2022,96006.44,157632.9,96.01,157.63
Kota Batam,2023,101078.8,171968.3,101.08,171.97
Kota Batam,2024,106123.1,182506.6,106.12,182.51
Kota Batam,2025,111549.0,195565.0,111.55,195.56
Kota Tanjungpinang,2021,61079.33,87563.33,61.08,87.56
Kota Tanjungpinang,2022,62865.57,93850.95,62.87,93.85
Kota Tanjungpinang,2023,65218.46,100210.2,65.22,100.21
Kota Tanjungpinang,2024,66944.45,105384.0,66.94,105.38
Kota Tanjungpinang,2025,68434.0,111013.0,68.43,111.01
Provinsi Kepulauan Riau,2021,83827.87,129413.29,83.83,129.41
Provinsi Kepulauan Riau,2022,87248.69,144107.85,87.25,144.11
Provinsi Kepulauan Riau,2023,91416.58,154281.81,91.42,154.28
Provinsi Kepulauan Riau,2024,96438.85,161713.44,96.44,161.71
Provinsi Kepulauan Riau,2025,100734.52,173363.05,100.73,173.36
