Kabupaten_Kota,No,Kode,Lapangan_Usaha,2021,2022,2023,2024*,2025**,Rerata,N_Rerata,P_Rerata,D_Rerata
Kabupaten Karimun,1,A,"Pertanian, Kehutanan, dan Perikanan",-8.87,2.91,-0.69,-4.97,0.88,-2.15,5.12,-3.48,-3.79
Kabupaten Karimun,2,B,Pertambangan dan Penggalian,12.05,-14.83,-10.2,-17.58,14.0,-3.31,5.12,-5.56,-2.87
Kabupaten Karimun,3,C,Industri Pengolahan,5.82,2.92,4.6,26.26,13.51,10.62,5.12,0.62,4.88
Kabupaten Karimun,4,D,Pengadaan Listrik dan Gas,2.13,22.48,13.57,9.08,14.34,12.32,5.12,4.14,3.06
Kabupaten Karimun,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",-2.36,9.74,-0.36,-2.81,11.65,3.17,5.12,0.27,-2.22
Kabupaten Karimun,6,F,Konstruksi,8.67,4.43,6.83,3.31,4.79,5.6,5.12,1.13,-0.65
Kabupaten Karimun,7,G,Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,0.07,18.14,7.81,4.45,9.04,7.9,5.12,1.67,1.11
Kabupaten Karimun,8,H,Transportasi dan Pergudangan,-8.8,55.93,29.84,0.77,8.67,17.28,5.12,7.13,5.02
Kabupaten Karimun,9,I,Penyediaan Akomodasi dan Makan Minum,-6.72,73.46,39.58,6.24,2.86,23.08,5.12,10.36,7.6
Kabupaten Karimun,10,J,Informasi dan Komunikasi,11.09,9.47,39.02,-3.31,-6.16,10.02,5.12,1.98,2.92
Kabupaten Karimun,11,K,Jasa Keuangan dan Asuransi,-1.31,2.17,10.68,5.37,2.2,3.82,5.12,-0.11,-1.19
Kabupaten Karimun,12,L,Real Estat,-3.33,3.72,3.72,2.15,4.7,2.19,5.12,-1.6,-1.33
Kabupaten Karimun,13,"M,N",Jasa Perusahaan,17.33,18.4,26.95,3.5,20.56,17.35,5.12,8.76,3.47
Kabupaten Karimun,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",-19.66,0.99,3.74,27.15,-8.47,0.75,5.12,-1.83,-2.54
Kabupaten Karimun,15,P,Jasa Pendidikan,-6.2,1.48,2.3,0.2,4.47,0.45,5.12,-2.48,-2.19
Kabupaten Karimun,16,Q,Jasa Kesehatan dan Kegiatan Sosial,16.74,-1.91,-19.26,18.26,-0.84,2.6,5.12,0.82,-3.35
Kabupaten Karimun,17,"R,S,T,U",Jasa Lainnya,-7.96,84.52,32.13,20.66,-0.05,25.86,5.12,16.08,4.66
