Lapangan Usaha,2021,2022,2023,2024*,2025**,Rerata
"1. Pertanian, kehutanan, & perikanan",-4.21,2.45,-2.33,-3.78,-1.6,-1.89
2. Pertambangan dan penggalian,-0.17,-7.68,-1.69,-7.97,13.32,-0.84
3. Industri Pengolahan,6.41,4.34,1.94,7.18,5.43,5.06
4. Pengadaan Listrik dan Gas,6.44,17.93,7.78,6.95,8.63,9.55
"5. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",1.55,6.99,4.19,1.38,9.26,4.67
6. Konstruksi,4.12,1.95,10.24,7.75,5.16,5.84
7. Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,2.27,14.33,5.56,5.43,5.76,6.67
8. Transportasi dan Pergudangan,-1.89,53.18,23.72,6.18,8.44,17.93
9. Penyediaan Akomodasi dan Makan Minum,-6.24,56.59,32.16,7.75,3.78,18.81
10. Informasi dan Komunikasi,12.98,11.33,22.39,2.54,-2.09,9.43
11. Jasa Keuangan dan Asuransi,-1.14,1.04,8.26,7.24,2.12,3.5
12. Real Estat,-4.21,1.3,1.52,3.02,1.57,0.64
13. Jasa Perusahaan,11.44,18.89,21.4,8.15,17.71,15.52
"14. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",-12.18,0.81,1.47,18.26,-5.2,0.63
15. Jasa Pendidikan,-6.7,-1.17,0.49,2.07,1.94,-0.67
16. Jasa Kesehatan dan Kegiatan Sosial,19.32,-2.33,-5.32,19.7,0.98,6.47
17. Jasa lainnya,-4.71,74.38,26.87,20.73,3.87,24.23
