kategori,uraian,kode,tahun,pertumbuhan_q_to_q,pertumbuhan_y_on_y,sog_q_to_q,sog_y_on_y
lapangan_usaha,"A. Pertanian, Kehutanan dan Perikanan",A,2021,-5.58,-15.46,-0.16,-0.51
lapangan_usaha,"A. Pertanian, Kehutanan dan Perikanan",A,2022,-5.41,3.0,-0.16,0.08
lapangan_usaha,"A. Pertanian, Kehutanan dan Perikanan",A,2023,-5.88,4.67,-0.17,0.13
lapangan_usaha,"A. Pertanian, Kehutanan dan Perikanan",A,2024,-6.99,4.86,-0.2,0.14
lapangan_usaha,"A. Pertanian, Kehutanan dan Perikanan",A,2025,-7.41,-2.75,-0.21,-0.08
lapangan_usaha,B. Pertambangan dan Penggalian,B,2021,1.9,-6.98,0.27,-1.09
lapangan_usaha,B. Pertambangan dan Penggalian,B,2022,-8.77,-7.07,-1.23,-1.04
lapangan_usaha,B. Pertambangan dan Penggalian,B,2023,0.73,-14.87,0.07,-1.97
lapangan_usaha,B. Pertambangan dan Penggalian,B,2024,-6.61,-4.69,-0.66,-0.5
lapangan_usaha,B. Pertambangan dan Penggalian,B,2025,-12.21,0.99,-1.25,0.1
lapangan_usaha,C. Industri Pengolahan,C,2021,-0.03,7.33,-0.01,2.82
lapangan_usaha,C. Industri Pengolahan,C,2022,-2.81,4.16,-1.18,1.74
lapangan_usaha,C. Industri Pengolahan,C,2023,-1.86,7.77,-0.79,3.28
lapangan_usaha,C. Industri Pengolahan,C,2024,0.1,3.87,0.04,1.65
lapangan_usaha,C. Industri Pengolahan,C,2025,0.72,7.3,0.3,3.09
lapangan_usaha,D. Pengadaan Listrik dan Gas,D,2021,1.77,0.61,0.02,0.01
lapangan_usaha,D. Pengadaan Listrik dan Gas,D,2022,3.94,10.93,0.04,0.1
lapangan_usaha,D. Pengadaan Listrik dan Gas,D,2023,-1.56,12.08,-0.02,0.12
lapangan_usaha,D. Pengadaan Listrik dan Gas,D,2024,0.8,5.13,0.01,0.05
lapangan_usaha,D. Pengadaan Listrik dan Gas,D,2025,-5.03,2.7,-0.05,0.03
lapangan_usaha,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,2021,2.22,0.68,0.0,0.0
lapangan_usaha,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,2022,-0.19,-0.71,0.0,0.0
lapangan_usaha,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,2023,1.84,11.53,0.0,0.01
lapangan_usaha,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,2024,0.11,8.55,0.0,0.01
lapangan_usaha,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",E,2025,9.25,7.33,0.01,0.01
lapangan_usaha,F. Konstruksi,F,2021,-1.5,0.05,-0.28,0.01
lapangan_usaha,F. Konstruksi,F,2022,-2.19,0.69,-0.39,0.13
lapangan_usaha,F. Konstruksi,F,2023,-10.82,7.53,-2.13,1.36
lapangan_usaha,F. Konstruksi,F,2024,-8.55,13.89,-1.79,2.53
