tahun,lapangan_usaha,jumlah_tenaga_kerja
2018,"A. Pertanian, Kehutanan, dan Perikanan",855.7
2019,"A. Pertanian, Kehutanan, dan Perikanan",873.6
2020,"A. Pertanian, Kehutanan, dan Perikanan",892.4
2021,"A. Pertanian, Kehutanan, dan Perikanan",903.0
2022,"A. Pertanian, Kehutanan, dan Perikanan",918.4
2018,B. Pertambangan dan Penggalian,287.8
2019,B. Pertambangan dan Penggalian,298.9
2020,B. Pertambangan dan Penggalian,311.5
2021,B. Pertambangan dan Penggalian,315.9
2022,B. Pertambangan dan Penggalian,323.5
2018,C. Industri Pengolahan,563.9
2019,C. Industri Pengolahan,594.2
2020,C. Industri Pengolahan,582.8
2021,C. Industri Pengolahan,571.4
2022,C. Industri Pengolahan,558.8
2018,F. Konstruksi,157.9
2019,F. Konstruksi,162.6
2020,F. Konstruksi,163.8
2021,F. Konstruksi,170.3
2022,F. Konstruksi,175.5
2018,G. Perdagangan Besar dan Eceran,585.3
2019,G. Perdagangan Besar dan Eceran,585.3
2020,G. Perdagangan Besar dan Eceran,615.0
2021,G. Perdagangan Besar dan Eceran,638.8
2022,G. Perdagangan Besar dan Eceran,635.2
2018,"R,S,T,U. Jasa Lainnya",220.5
2019,"R,S,T,U. Jasa Lainnya",221.1
2020,"R,S,T,U. Jasa Lainnya",220.7
2021,"R,S,T,U. Jasa Lainnya",217.2
2022,"R,S,T,U. Jasa Lainnya",213.6
