kab_kota,tahun,pdrb_perkapita_ribu,pdrb_perkapita_juta,jumlah_penduduk,bobot_penduduk,yn_provinsi_ribu,yn_provinsi_juta,williamson_provinsi,indeks_bonet,deviasi_persen,kontribusi_disparitas_pct
Kabupaten Karimun,2021,36604.56,36.6,254962,0.122,84732.1,84.73,0.4342,0.568,-56.8,20.87
Kabupaten Bintan,2021,86445.7,86.45,161182,0.0771,84732.1,84.73,0.4342,0.0202,2.02,0.02
Kabupaten Natuna,2021,177996.82,178.0,82279,0.0394,84732.1,84.73,0.4342,1.1007,110.07,25.3
Kabupaten Lingga,2021,30010.47,30.01,99017,0.0474,84732.1,84.73,0.4342,0.6458,-64.58,10.48
Kabupaten Kepulauan Anambas,2021,232516.73,232.52,47775,0.0229,84732.1,84.73,0.4342,1.7441,174.41,36.88
Kota Batam,2021,91404.62,91.4,1215135,0.5814,84732.1,84.73,0.4342,0.0787,7.87,1.91
Kota Tanjungpinang,2021,61079.33,61.08,229541,0.1098,84732.1,84.73,0.4342,0.2791,-27.91,4.54
Kabupaten Karimun,2022,37788.84,37.79,257797,0.1215,88083.94,88.08,0.4137,0.571,-57.1,23.15
Kabupaten Bintan,2022,91714.97,91.71,163558,0.0771,88083.94,88.08,0.4137,0.0412,4.12,0.08
Kabupaten Natuna,2022,175737.28,175.74,83430,0.0393,88083.94,88.08,0.4137,0.9951,99.51,22.75
Kabupaten Lingga,2022,30817.72,30.82,100033,0.0472,88083.94,88.08,0.4137,0.6501,-65.01,11.64
Kabupaten Kepulauan Anambas,2022,229506.9,229.51,48444,0.0228,88083.94,88.08,0.4137,1.6055,160.55,34.39
Kota Batam,2022,96006.44,96.01,1236013,0.5826,88083.94,88.08,0.4137,0.0899,8.99,2.75
Kota Tanjungpinang,2022,62865.57,62.87,232203,0.1095,88083.94,88.08,0.4137,0.2863,-28.63,5.24
Kabupaten Karimun,2023,39438.43,39.44,260599,0.1211,92003.53,92.0,0.3955,0.5713,-57.13,25.26
Kabupaten Bintan,2023,97951.37,97.95,165893,0.0771,92003.53,92.0,0.3955,0.0646,6.46,0.21
Kabupaten Natuna,2023,174867.56,174.87,84556,0.0393,92003.53,92.0,0.3955,0.9007,90.07,20.37
Kabupaten Lingga,2023,31827.34,31.83,101026,0.0469,92003.53,92.0,0.3955,0.6541,-65.41,12.83
Kabupaten Kepulauan Anambas,2023,227878.87,227.88,49094,0.0228,92003.53,92.0,0.3955,1.4768,147.68,31.79
Kota Batam,2023,101078.75,101.08,1256614,0.5838,92003.53,92.0,0.3955,0.0986,9.86,3.63
Kota Tanjungpinang,2023,65218.46,65.22,234843,0.1091,92003.53,92.0,0.3955,0.2911,-29.11,5.91
Kabupaten Karimun,2024,41544.84,41.54,263344,0.1206,95365.09,95.37,0.3638,0.5644,-56.44,29.02
Kabupaten Bintan,2024,105200.61,105.2,168190,0.077,95365.09,95.37,0.3638,0.1031,10.31,0.62
Kabupaten Natuna,2024,166448.42,166.45,85664,0.0392,95365.09,95.37,0.3638,0.7454,74.54,16.47
Kabupaten Lingga,2024,32913.86,32.91,102006,0.0467,95365.09,95.37,0.3638,0.6549,-65.49,15.14
Kabupaten Kepulauan Anambas,2024,212218.14,212.22,49728,0.0228,95365.09,95.37,0.3638,1.2253,122.53,25.83
Kota Batam,2024,106123.12,106.12,1276928,0.5849,95365.09,95.37,0.3638,0.1128,11.28,5.62
Kota Tanjungpinang,2024,66944.45,66.94,237432,0.1087,95365.09,95.37,0.3638,0.298,-29.8,7.3
Kabupaten Karimun,2025,43365.0,43.37,266009,0.1202,100696.35,100.7,0.3852,0.5693,-56.93,26.26
Kabupaten Bintan,2025,110474.0,110.47,170455,0.077,100696.35,100.7,0.3852,0.0971,9.71,0.49
Kabupaten Natuna,2025,181596.0,181.6,86757,0.0392,100696.35,100.7,0.3852,0.8034,80.34,17.05
Kabupaten Lingga,2025,33764.0,33.76,102949,0.0465,100696.35,100.7,0.3852,0.6647,-66.47,13.85
Kabupaten Kepulauan Anambas,2025,242118.0,242.12,50362,0.0228,100696.35,100.7,0.3852,1.4044,140.44,30.25
Kota Batam,2025,111549.0,111.55,1296962,0.5859,100696.35,100.7,0.3852,0.1078,10.78,4.59
Kota Tanjungpinang,2025,68434.0,68.43,239962,0.1084,100696.35,100.7,0.3852,0.3204,-32.04,7.5
