kode_prov,provinsi,tahun,williamson,bonet_mean,bonet_weighted,yn_ribu,yn_juta,total_penduduk
aceh,Aceh,2021,0.4052,0.3054,0.2785,25216.73,25.22,5334897
aceh,Aceh,2022,0.4103,0.3082,0.282,25879.89,25.88,5409187
aceh,Aceh,2023,0.4188,0.3116,0.2829,26496.53,26.5,5482527
aceh,Aceh,2024,0.4281,0.3181,0.2876,27365.37,27.37,5554815
aceh,Aceh,2025,0.4389,0.3234,0.2912,27818.0,27.82,5625960
sumut,Sumatera Utara,2021,0.4249,0.3408,0.3343,36952.26,36.95,14582784
sumut,Sumatera Utara,2022,0.4303,0.3439,0.3378,38093.18,38.09,14785685
sumut,Sumatera Utara,2023,0.4347,0.3457,0.3403,39440.38,39.44,14984777
sumut,Sumatera Utara,2024,0.4395,0.3478,0.3435,40843.04,40.84,15179776
sumut,Sumatera Utara,2025,0.4461,0.3498,0.3471,42169.61,42.17,15370354
sumbar,Sumatera Barat,2021,0.306,0.2385,0.2542,31906.16,31.91,5917900
sumbar,Sumatera Barat,2022,0.3067,0.2389,0.2537,32831.71,32.83,6001612
sumbar,Sumatera Barat,2023,0.3081,0.2395,0.2538,33838.52,33.84,6084738
sumbar,Sumatera Barat,2024,0.3117,0.2413,0.2559,34789.81,34.79,6167123
sumbar,Sumatera Barat,2025,0.3149,0.2434,0.2584,35476.27,35.48,6248679
riau,Riau,2021,0.2879,0.2171,0.2147,78320.48,78.32,6466763
riau,Riau,2022,0.2789,0.2131,0.2085,80695.22,80.7,6555746
riau,Riau,2023,0.2759,0.2135,0.2074,82945.16,82.95,6642874
riau,Riau,2024,0.2735,0.2142,0.2067,84520.08,84.52,6728053
riau,Riau,2025,0.27,0.2134,0.205,87493.27,87.49,6811158
jambi,Jambi,2021,0.4191,0.3553,0.2484,37908.05,37.91,6560073
jambi,Jambi,2022,0.4007,0.3504,0.2466,39390.97,39.39,6646072
jambi,Jambi,2023,0.3873,0.3394,0.2373,40972.02,40.97,6730564
jambi,Jambi,2024,0.386,0.34,0.2366,42373.01,42.37,6813467
jambi,Jambi,2025,0.3859,0.3389,0.2356,43982.02,43.98,6894700
sumsel,Sumatera Selatan,2021,0.5181,0.4683,0.489,41529.59,41.53,7480311
sumsel,Sumatera Selatan,2022,0.5121,0.4681,0.4813,43748.52,43.75,7566850
sumsel,Sumatera Selatan,2023,0.5178,0.4735,0.4859,45645.38,45.65,7651297
sumsel,Sumatera Selatan,2024,0.5206,0.4758,0.4885,47494.22,47.49,7733582
sumsel,Sumatera Selatan,2025,0.5226,0.4773,0.4909,49524.05,49.52,7813632
bengkulu,Bengkulu,2021,0.3554,0.373,0.3478,31781.99,31.78,3686031
bengkulu,Bengkulu,2022,0.3616,0.3804,0.3541,32910.51,32.91,3733826
bengkulu,Bengkulu,2023,0.3671,0.3871,0.3596,34053.65,34.05,3780895
bengkulu,Bengkulu,2024,0.3697,0.3904,0.3622,35266.37,35.27,3827149
bengkulu,Bengkulu,2025,0.3723,0.3937,0.3649,36594.89,36.59,3872603
lampung,Lampung,2021,0.217,0.1932,0.18,27319.2,27.32,9096515
lampung,Lampung,2022,0.22,0.1956,0.1852,28109.73,28.11,9206261
lampung,Lampung,2023,0.2214,0.1962,0.1872,29038.73,29.04,9313986
lampung,Lampung,2024,0.2237,0.1981,0.1888,30022.84,30.02,9419582
lampung,Lampung,2025,0.2249,0.1989,0.1904,31265.15,31.27,9522913
babel,Kep. Bangka Belitung,2021,0.1891,0.1736,0.1715,37618.92,37.62,1471787
babel,Kep. Bangka Belitung,2022,0.1822,0.1683,0.1667,38772.47,38.77,1491986
babel,Kep. Bangka Belitung,2023,0.1785,0.1649,0.1634,39952.34,39.95,1511899
babel,Kep. Bangka Belitung,2024,0.1892,0.1689,0.1683,39745.13,39.75,1531530
babel,Kep. Bangka Belitung,2025,0.1795,0.1629,0.1616,40858.01,40.86,1550821
kepri,Kepulauan Riau,2021,0.4342,0.6338,0.2611,84732.1,84.73,2089891
kepri,Kepulauan Riau,2022,0.4137,0.6056,0.2628,88083.94,88.08,2121478
kepri,Kepulauan Riau,2023,0.3955,0.5796,0.2632,92003.53,92.0,2152625
kepri,Kepulauan Riau,2024,0.3638,0.5291,0.2622,95365.09,95.37,2183292
kepri,Kepulauan Riau,2025,0.3852,0.5667,0.2681,100696.35,100.7,2213456
